id,text,group,split,ai,low_quality
historical-buried-wires,"Philadelphia newspapers report that the American Union Telegraph Company are about to try in that city the experiment of putting their wires underground. The plan works well enough in European cities, and there would seem to be no reason why it should not succeed here, save the indisposition of the companies to bear the first cost of making the change. For some months the Western Union Telegraph Company has had the matter under consideration, but will probably wait until pressed by a rival company before it undertakes the more serious task of taking down its forest of poles and sinking the wires which contribute so much to the prevailing ugliness of our streets. Sooner or later the poles and wires must come down; and it is altogether probable that the change will be beneficial to the companies in the long run, owing to the smaller cost of maintaining a subterranean system. It will certainly be an advantage to the community.",buried-wires,train,0,
generated-buried-wires,"Putting a city's wires underground changes what residents see immediately. The financial consequences take longer to emerge. Excavation is expensive, and the organization paying for it may not be the one that benefits most from a clearer street or fewer overhead obstructions. A technically plausible improvement can wait for years when its costs and benefits fall on different parties. Maintenance complicates the argument. Buried equipment avoids some exposures while becoming harder to reach when something goes wrong. The sensible comparison is not between an ugly system and an invisible one, but between their full working lives. How often do they fail, how quickly can they be repaired, and who bears the disruption? Those questions are less memorable than a photograph of tangled wires. They are also more useful when a proposal moves from civic aspiration to an actual construction decision with a budget attached.",buried-wires,train,1,
historical-safety-nuts,"That a safety nut so simple and so obviously efficient as the one shown in the annexed engraving should be among the recent inventions in this line instead of being among the first, is a curious example of the manner in which inventors often overlook the simplest means of accomplishing an end. The principle on which this nut operates will be understood by reference to the engraving. Two nuts are represented on each bolt, simply for the purpose of showing the difference between the nut when loose and when screwed down. In practice only one nut is required to each bolt. The square nut shown in Fig. 1 is concaved on its under side, so that it touches its bearings only at the corners and in the outer face of the nut there are two slots at right angles to each other. When this nut is screwed home the outer portion is contracted so as to clamp the bolt tightly.",safety-nuts,valid,0,
generated-safety-nuts,"A threaded joint must do more than become tight under a wrench. It must retain sufficient clamping force while the surrounding assembly vibrates, heats, cools, and carries changing loads. A locking feature attempts to resist unwanted movement without making deliberate removal impossible. One approach introduces a controlled deformation so that part of the nut presses more firmly against the thread. That description does not establish how well a particular product will work. Its behavior depends on dimensions, material properties, installation conditions, and repeated use. A useful trial would record the initial tightening procedure, apply a defined loading sequence, and measure what remains afterward. Merely observing that the nut has not fallen off is a weak test. The practical attraction of a simple fitting is obvious: it can reduce the number of separate parts. Reliability, however, has to be shown under the conditions in which those parts are expected to serve.",safety-nuts,valid,1,
historical-oil-production,"The total oil production of the Pennsylvania oil regions for the month of October was 2,094,608 barrels. The conditions in the producing field are gradually giving warrant for permanently higher prices of crude. The confidence of the trade is daily becoming more fixed in the definiteness and limit of the Bradford field, as the last of the several ""rich streaks"" in the region are being worked. We entertain an increased belief that the coming year will exhibit a continued falling off in the volume of production, notwithstanding all the modern improvements in drilling and the great energy with which they are employed. For the past few weeks the markets of both crude and refined seem to have been rigorously and artificially held by the refining interest. The refined has been quoted at 12 cts. for four weeks without change—and as a consequence the exporter has taken oil very sparingly. The exports of last year to November 1, as compared with the exports of this year to November 1, show a decrease of 1,269,646 barrels in crude equivalent.",oil-production,valid,0,
generated-oil-production,"A falling monthly production total can support several stories. Wells may be declining, operators may be holding back, or a temporary disruption may have interrupted an otherwise stable operation. The number becomes persuasive only when it is read alongside evidence that helps distinguish those explanations. Counting new wells is a start, but their output matters more than their mere existence. A field can gain wells while losing productive capacity overall. Price forecasts add another layer of uncertainty because supply is only part of the transaction. Buyers can postpone purchases, inventories can absorb a shortfall, and transport can constrain where available oil reaches the market. None of these possibilities makes the production figure irrelevant. They make a confident forecast harder to justify. A careful market note should tell readers which observations it has, which mechanism it favors, and what later evidence would cause the writer to reconsider.",oil-production,valid,1,
historical-nail-tools,"A novel method of making a nail hole and driving and clinching the nail is shown in the annexed engraving. The instrument for making the hole has a notched end which leaves a ridge in the center of the hole at the bottom. The nail driving tool consists of a socket provided with a suitable handle, and containing a follower which rests upon the head of the nail to be driven, and receives the blows of the hammer in the operation of driving the nail. The nail is split for one half its length, and the two arms thus formed are slightly separated at the point, so that when they meet the ridge at the bottom of the hole they will be still further separated and will clinch in the body of the wood.",nail-tools,valid,0,
generated-nail-tools,"A clinching fastener resists withdrawal by changing shape after it enters the material. Rather than relying only on friction along a straight shank, its end spreads or bends so that pulling it out requires additional deformation or damage to the surrounding structure. The tool and the fastener must be considered together. A split end is useful only if the receiving geometry guides the two arms in the intended directions. In wood, the grain and the distance from an edge can alter the result substantially. A joint that seems secure in a thick test block may split a thinner component. Examination should therefore include both the force required for withdrawal and the damage introduced during installation. Simplicity at the workbench remains a worthwhile design objective, but it is not the same as universal suitability. The appropriate question is which joint this fastening method improves, and under what limits.",nail-tools,valid,1,
historical-balanced-valves,"It is well known that in all air compressors and water pumps the pressure in cylinder of air compressors or in working barrel or cylinder of pumps is much greater at the point of opening the delivery valves than the actual pressure in the air receivers of compressors or in water column of pumps because of the difference in area between the top and bottom of delivery valves. In some air compressors a hundred and twenty-five pounds pressure to the square inch is required in the cylinder to eighty pounds in the receiver, and in some instances a hundred pounds pressure is required in the cylinder to eighty pounds pressure in the receiver or column. The engraving shows an invention designed to remedy this defect in air compressors and pumps, to provide a device which will enable the compressors and pumps to operate with equal pressure on both sides of the delivery valve.",balanced-valves,test,0,
generated-balanced-valves,"A valve can appear to be a minor part of a compressor until the effort required to open it is counted. Pressure is not force by itself; the area on which it acts matters too. If opposing pressures act over different effective areas, the mechanism may need a larger pressure difference than an observer first expects. An apparently small geometric detail can then become a recurring operating loss. A balancing arrangement tries to change that relationship, allowing an auxiliary surface to contribute to the opening force. The promise is attractive, but additional passages and moving parts bring their own questions. How promptly does the pressure reach the balancing surface? Does the valve close cleanly when the stroke reverses? A convincing account needs the whole cycle rather than a sketch of one favorable instant. Good mechanical explanations connect a proposed improvement to the sequence of events that must repeat reliably in service.",balanced-valves,test,1,
historical-safety-valves,"In the annexed cut we have represented a steam safety valve, which is the invention of M. Schmidt, M. E., of Zurich, Switzerland. It consists of a lever terminating in two prongs, one of which extends downward and rests upon the cap, closing the top of the tube through which the steam escapes. The other prong extends upward and catches under a projection of the steam tube, and forms the fulcrum for the lever. The opposite end of this lever is provided with an adjustable screw pressing upon a plate that rests on the top of a spiral spring, which keeps the valve closed by pressing the outer end of the lever upward. As soon as the pressure of the steam overcomes the pressure of the spiral spring the valve will be raised, permitting the steam to escape. The apparatus is contained in a case having a central aperture for the escape of steam.",safety-valves,test,0,
generated-safety-valves,"A pressure-relief valve is intended to provide a controlled escape route when pressure rises beyond its set point. In a spring-loaded arrangement, the spring holds a closure against its seat until the opposing force becomes large enough to lift it. Once the valve opens, the escaping fluid must pass through an outlet that can carry it away appropriately. The spring is only one part of that system. A setting that seems correct on paper does not establish that the installed valve will respond as intended. Deposits, damage, an obstructed discharge, or an unsuitable installation can change its behavior. Inspection and testing therefore concern the complete assembly rather than a single adjustment. A useful explanation of the mechanism should make those boundaries clear. Knowing why a lever moves helps a reader understand the design, but it is not a substitute for the engineering specifications and qualified assessment required for actual pressure equipment.",safety-valves,test,1,
historical-ship-salvage,"An experiment recently took place in the East India Dock Basin, Blackwall, London, by permission of Mr. J. L. du Plat Taylor, the secretary of the Dock Company, for the purpose of testing and illustrating the mode of raising sunken ships by means of the apparatus patented by Mr. William Atkinson, naval engineer, of Sheffield. The machinery employed consists of the necessary number and size, according to the power required, of oval or egg-shaped buoys constructed of sheet iron, having an internal valve of a simple and effective character. Captain Hales Dutton, the dock master, who assisted during the operations, had placed his small yacht at the inventor's service for the occasion. The vessel was moored in the basin, and a set of four buoys were attached to it, one on each side near the bow and the stern.",ship-salvage,test,0,
generated-ship-salvage,"An enclosed float can provide lifting force underwater if it displaces more water than its own total weight requires. Attach several suitable floats to a submerged object and replace some of the water inside them with air, and the combined system may become buoyant enough to rise. The principle is straightforward. Keeping the lift balanced is not. An uneven distribution of buoyancy can rotate the object, overload an attachment, or leave one end moving before the other. A small demonstration is useful because these effects can be observed under controlled conditions. It does not settle every question about a full-size wreck. The strength of the hull, the condition of the seabed, and the forces on the lifting connections all become part of the problem. A sound report should distinguish the observed demonstration from the larger claim being made for it, especially when a successful model is offered as evidence for an operation on a very different scale.",ship-salvage,test,1,
