domain,group_id,label,text,words,split
finance,finance:388,0,"Is this legal?  If the purpose of the sale at that price is to defraud somebody else, you could have a legal issue. For example if the purpose was to make yourself appear poorer to make you eligible for government aid; Or to increase your chances of getting a college grant; or to not have to pay money to your spouse as part of a divorce settlement; or if there is an unwritten part of the transaction for the sibling to sell the house back to in a few years when you no longer need to appear poor.  The answer by @littleadv covers the tax complications.  I do have one additional point. The sale can't be a short sale. The bank will never approve. The short sale can only be approved when the bank is convinced that there are no viable purchasers at a level to get all their money back. Your sibling is not an arms length transaction.",159,train
finance,finance:388,1,"If you sell a property for less than its appraised value, the difference between the sale price and the appraised value is considered a gift. If the sale price is less than the appraised value and the buyer is a family member, the difference is considered a gift to the family member.Gifts to family members are generally not taxable, but there are limits on the amount of gifts you can give without incurring gift tax. The current gift tax exclusion is $15,000 per recipient per year. This means you can give up to $15,000 per year to each individual recipient without incurring gift tax. If you give more than $15,000 to a single recipient in a single year, you will need to file a gift tax return (Form 709) and pay gift tax on the excess amount. However, if the total value of all gifts you give during your lifetime is less than the lifetime gift tax exclusion amount ($11.7 million in 2021), you will not have to pay any gift tax.It's important to note that while the sale of a property to a family member for less than its appraised value is not taxable as a gift, it may still have tax consequences if the property was originally purchased for a price that was different from the sale price. If the property was sold for more than the original purchase price, you may owe capital gains tax on the difference. If the property was sold for less than the original purchase price, you may be able to claim a loss on your tax return.It's also important to consider the potential impact of the sale on the buyer's finances, including any financing or mortgage issues that may arise as a result of the sale price being less than the appraised value. It's a good idea to consult with a tax professional or financial advisor to understand the tax and financial implications of selling a property below its appraised value to a family member.",333,train
finance,finance:1510,0,"Roughly about 1 of 2 Swiss francs is won abroad. So, yes it is easier for Swiss companies to export when the Swiss franc is not ""too high"" as it has been those last years. The main export market for Switzerland is the UE. Some companies are doing most or all of their business on the Swiss market. Others are much more exposed to the the health of the global economy. When the Swiss franc appreciates, some companies suffer a lot from that and other less. It depends on their product portfolio, competitors, and other factors. The last decades have shown that how the Swiss Franc valuation is less and less correlated with the performance of the Swiss economy. The Swiss franc is used as a safe haven when the global economy goes bad or is uncertain. In those times, the Swiss franc can be overevaluated, at least as compared to the purchasing power. When the global economy is improving, the over-appreciation of the Swiss franc tends to disapear ; this is happening now (in Mid-2017). As a summary, the Swiss franc itself is not truly correlated with the competitiveness of the Swiss economy, but more about how people in the world are anxious. In this regard, it behaves a little bit like gold.",214,train
finance,finance:1510,1,"It is not uncommon for stock markets and currency exchange rates to be somewhat inversely correlated, meaning that when one goes up, the other may tend to go down, and vice versa. However, the relationship between the Swiss stock market and the Swiss franc is not necessarily fixed and may change over time. Factors such as economic conditions, interest rates, and investor sentiment can all affect both the stock market and the exchange rate, making it difficult to predict with certainty how they will move in relation to each other.It is worth noting that the relationship between the stock market and currency exchange rates can vary significantly from one country to another. In some cases, the stock market and currency may be positively correlated, meaning that they tend to move in the same direction, while in other cases they may be uncorrelated or even negatively correlated.",146,train
finance,finance:3278,0,"A share is just a part ownership of a company. If you buy a share of a green stock in the open market, you now just own  part of a green company. Just like if you buy a house, the money you paid moves to the former owner, but what you are getting is a clear asset in return that you now own. Via mutual funds/indexes this can get a little more complicated (voting rights etc tend to go to the mutual/indexing company rather than the holders of the fund), but is approximately the same thing: the fund buys assets on the open market, then holds them, buys more, or sells them on behalf of the fund investors.",118,train
finance,finance:3278,1,"Responsible investing, also known as sustainable, socially responsible, or impact investing, refers to the practice of considering environmental, social, and governance (ESG) factors in investment decisions. This approach is designed to align an investor's values and beliefs with their investment portfolio, and to consider the potential impact of an investment on society and the environment.There is some debate about whether responsible investing is simply a marketing trick or whether it is a legitimate investment approach that can deliver financial returns. Some critics argue that responsible investing is more focused on achieving social and environmental goals than on maximizing financial returns, and that it may involve sacrificing some potential financial gain in order to achieve those goals.However, many proponents of responsible investing argue that considering ESG factors in investment decisions can lead to better risk management and long-term financial performance. They point to research suggesting that companies that prioritize ESG issues tend to have better governance and management practices, which can lead to lower risks and higher returns.Ultimately, the effectiveness of responsible investing as an investment approach will depend on an individual investor's goals and priorities. Some investors may prioritize financial returns above all else, while others may be more focused on achieving social or environmental impact through their investments.",209,train
finance,finance:660,0,"According to the answers to this question, you generally aren't taxed on gains until you sell the asset in question. None of those answered specifically for the U.K., so perhaps someone else will be able to weigh in on that. To apply those ideas to your question, yes your gains and losses are taxable. If you originally traded something worth $100 for the bitcoins, then when you converted back to dollars you received $200, you would have a $100 gain, simply on the foreign exchange trade. That is, this $100 of income is in addition to any income you made from your business (selling goods).",105,train
finance,finance:660,1,"There are a few different ways that variations in currency can affect taxation. One way is through the conversion of foreign income into the taxpayer's domestic currency. For example, if an individual earns income in a foreign currency and then converts that income into their domestic currency for tax reporting purposes, any changes in the exchange rate between the two currencies can affect the amount of income that is subject to tax.Another way that currency variations can affect taxation is through the taxation of transactions involving foreign currencies. For example, if an individual buys or sells a foreign currency as an investment, any gains or losses from the transaction may be subject to tax. The tax treatment of these transactions can depend on the specific tax laws of the individual's jurisdiction and the nature of the transaction (e.g., whether it is considered a capital gain or business income).It is also worth noting that some countries have specific rules and regulations related to the taxation of foreign currency transactions. For example, some countries may require taxpayers to report their foreign currency transactions on their tax returns or to file separate tax forms for these transactions. It is important for individuals to be aware of these rules and to comply with them in order to avoid potential tax issues.",217,train
finance,finance:2643,0,"The $47.67 per share figure is the trading price, or fair market value, of the OLD Johnson Controls, and should not be used to figure your gain nor to figure your basis in the new Johnson Controls International. Your new basis is the total of the gross proceeds received; that is, the cash  plus the fair market value of the new shares, which was $45.69 per share. (I am not referring to cash-in-lieu for fractional shares, but the $5.7293 per share received upon the merger.) A person holding 100 shares of the old Johnson Controls would have received $572.93, plus 83.57 shares of the new company.  Ignoring the fractional share, for simplicity's sake, gross proceeds would equal 83 x $45.69 = $3792.72  in fair market value of shares, plus the cash of $572.93, for a total of $4365.20. This is your basis in the 83 new shares. Regarding the fractional share, since new basis is at fair market value, there should be no gain or loss recognized upon its sale.",170,train
finance,finance:2643,1,"To calculate the cost basis and tax consequences of the Johnson Controls International (JCI) to Tyco (TYC) merger, you will need to consider several factors, including the number of shares you owned, the price you paid for the shares, and any tax implications of the merger.First, you will need to determine the number of shares you owned at the time of the merger. This information should be available on your brokerage statement or through your brokerage account.Next, you will need to determine the price you paid for each share of JCI stock. This information should also be available on your brokerage statement or through your brokerage account.Once you have this information, you can calculate your cost basis in the JCI stock by multiplying the number of shares you owned by the price you paid for each share. This will give you the total amount you invested in the JCI stock.To calculate the tax consequences of the merger, you will need to consider the type of merger that occurred. If the merger was a taxable event, you will need to report any gain or loss on your tax return. If the merger was a tax-free event, you will not have any tax consequences to report.It is important to note that the cost basis and tax consequences of a merger can be complex and may vary depending on your specific circumstances. It is always a good idea to consult with a tax professional for guidance on how to report the merger on your tax return.",253,train
finance,finance:785,0,"Such data is typically only available from paid sources due to the amount of research involved in determining the identity of delisted securities, surviving entities in merger scenarios, company name changes, symbol changes, listing venue changes, research of all capital events such as splits, and to ensure that the data coverage is complete. Many stocks that are delisted from a major exchange due to financial difficulties are still publicly tradeable companies with their continuing to trade as ""OTC"" shares.  Some large companies even have periods where they traded for a period of their history as OTC.  This happened to NYSE:NAV (Navistar) from Feb 2007 to July 2008, where they were delisted due to accounting statement inaccuracies and auditor difficulties.   In the case of Macromedia, it was listed on NASDAQ 13 Dec 1993 and had its final day of trading on 2 Dec 2005.  It had one stock split (2:1) with ex-date of 16 Oct 1995 and no dividends were ever paid. Other companies are harder to find.  For example, the bankrupt General Motors (was NYSE:GM) became Motoros Liquidation Corp (OTC:MTLQQ) and traded that way for almost 21 months before finally delisting. In mergers, there are in two (or more) entities - one surviving entity and one (or more) delisted entity.  In demergers/spinoffs there are two (or more)  entities - one that continues the capital structure of the original company and the other newly formed spun-off entity.  Just using the names of the companies is no indication of its history. For example, due to monopoly considerations, AT&T were forced to spinoff multiple companies in 1984 and effectively became 75% smaller.  One of the companies they spunoff was Southwestern Bell Corporation, which became SBC Communications in 1995.  In 2005 SBC took over its former parent company and immediately changed its name to AT&T.  So now we have two AT&Ts - one that was delisted in 2005 and another that exists to this day. Disclosure: I am a co-owner of Norgate Data (Premium Data), a data vendor in this area.",337,train
finance,finance:785,1,"There are a few options for finding historical stock price information for a de-listed or defunct company:One option is to check with the company itself. If the company is still in operation, it may have records of its past stock prices.Another option is to check with a financial database or online service that maintains historical stock price information. Some options include Yahoo Finance, Google Finance, and Bloomberg.Another option is to check with a public library or university library. These libraries may have access to historical financial information, including stock prices, through databases or print resources.You may also be able to find information about a de-listed or defunct company's stock prices through news articles or press releases from the time when the company was still listed.Finally, you may be able to find historical stock price information for a de-listed or defunct company through a stockbroker or financial advisor who has access to historical financial data.It's important to note that finding historical stock price information for a de-listed or defunct company can be challenging, as the company is no longer actively traded and may not have current financial information readily available. However, with some research and persistence, it may be possible to locate the information you are looking for.",207,train
finance,finance:2172,0,"There is a saying in business: what gets measured gets done. Track every expense you make. Later, look over what you have learned. If 5% of your total budget is going to something frivolous, maybe you could halve it? If 1% or 0.1% is going to that frivolous expense, there's not much to be gained even by eliminating it. If you spend $200/mo on coffees, dropping those will help. If you spend $10/mo on coffees, you need to look elsewhere for your big savings. Have a target: I want to put $X into savings each month. Therefore I can only spend $Y. What do you have to change about last month's spending patterns to get down to $Y? Where are the easy targets for you? They will be different than the easy targets for me. What absolutely cannot change for you? Once you know the costs of what you're doing, you will know where it's possible to save, and where it's ""worth it"" to economize.",165,train
finance,finance:2172,1,"There are many ways to save money on everyday expenses. Here are a few suggestions:Make a budget: It can be helpful to track your spending and create a budget to see where you can cut back.Shop around: Don't just buy something at the first store you see. Take the time to shop around and compare prices to get the best deal.Use coupons and discounts: Look for coupons and discounts when shopping, and be sure to ask retailers if they offer any discounts or loyalty programs.Plan your meals: Meal planning can help you save money by reducing the amount of food you waste and by allowing you to take advantage of sales and discounts at the grocery store.Cut down on unnecessary expenses: Take a close look at your spending and see if there are any unnecessary expenses that you can cut out.Use cash instead of credit: Using cash can help you stay on budget and avoid overspending.Consider using a cash-back credit card: If you do use a credit card, consider using one that offers cash back or rewards for your purchases.By taking some of these steps, you can save money on everyday expenses and stretch your budget further.",197,train
medicine,medicine:451,0,"Hi, Hepatitis B positivity doesn't have any effect on conceiving. What you can do is to go for a IUI with washed sperms because chances of transmission of hepatitis B is high by normal intercourse. Also get yourself evaluated at intervals for hepatitis B. You can try ovulation induction in which you will receive medicines for growth of your eggs and when egg matures, injection will be given for rupture and IUI will be done that means after processing semen of your husband it will be directly put into your uterus.Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Khushboo Priya",108,train
medicine,medicine:451,1,"It is generally safe for an HBV-negative woman to become pregnant with an HBV-positive man. The risk of transmission of HBV from an HBV-positive man to an HBV-negative woman during pregnancy or childbirth is relatively low, and can be further reduced with proper preventive measures.

If you and your husband are planning to conceive and you are HBV-negative, it is recommended that you get vaccinated against HBV before becoming pregnant. This will provide you with immunity to the virus and reduce the risk of transmission to you and your baby.

If you are unable to get vaccinated before becoming pregnant, you should discuss the options for preventing transmission of HBV with your healthcare provider. This may include receiving immune globulin and/or antiviral medications during pregnancy.

It is also important for your husband to manage his HBV infection by taking his medications as prescribed and practicing safe sex to reduce the risk of transmission to you and any children you may have.

If you have been trying to conceive for over a year without success, it is important to consult with a healthcare provider to determine the cause and discuss treatment options. There may be other factors contributing to your difficulty conceiving, such as fertility issues or underlying health conditions. A healthcare provider can help you assess your fertility and discuss options for increasing your chances of conceiving.",227,train
finance,finance:1068,0,"An order is your command to the broker to, say, ""sell 100 shares of AAPL"". An executed order (or partially executed order) is when all (or some) of that command is successfully completed. A transaction is an actual exchange of shares for money, and there may be one or more transactions per executed order.  For example, the broker might perform all of the following 5 transactions in order to do what you asked: On the other hand, if the broker cannot execute your order, then 0 transactions have taken place. The fee schedule you quote is saying that no matter how many transactions the broker has to perform in order to fill your order -- and no matter what the share prices are -- they're only going to charge you $0.005 per share ($0.50 in this example of 100 shares), subject to certain limits. However, as it says at the top of the page you linked, Our Fixed pricing for stocks, ETFs (Exchange Traded Products, or ETPs) and warrants charges a fixed amount per share or a set percent of trade value, and includes all IB commissions, exchange and most regulatory fees with the exception of the transaction fees, which are passed through on all stock sales. certain transaction fees are passed through to the client.  The transaction fee you included above is the SEC fee on sales.  Many (but not all) transaction fees DO depend on the prices of the shares involved; as a result they cannot be called ""fixed"" fees. For example, if you sell 100 shares of AAPL at $150 each, But if you sell 100 shares of AMZN at $940 each, So the broker will charge you the same $0.50 on either of those orders, but the SEC will charge you more for the expensive AMZN shares than for the cheaper AAPL shares. The reason this specific SEC fee mentions aggregate sales rather than trade value is because this particular SEC fee applies only to the seller and not to the buyer.  So they could have written aggregate trade value, but they probably wanted to highlight to the reader that the fee is only charged on sells.",361,train
finance,finance:1068,1,"Transaction costs refer to the fees associated with buying or selling securities on a stock exchange. These costs can include broker commissions, exchange fees, and any other fees related to the transaction.To calculate the total transaction cost of a stock trade, you will need to consider the following factors:Brokerage fees: Most brokers charge a commission for each trade you make. This fee is usually a percentage of the trade value, ranging from a few cents to several dollars, depending on the broker and the type of account you have.Exchange fees: The stock exchange charges a fee for each trade that is executed on its platform. This fee is usually a small percentage of the trade value.Other fees: There may be other fees associated with the trade, such as clearing fees or regulatory fees. These fees are usually small and are added to the total cost of the trade.To calculate the total transaction cost, you will need to add up all of these fees and express them as a percentage of the trade value. For example, if you are trading a stock with a value of $1,000 and the broker charges a commission of $10, the exchange fee is $5, and there are no other fees, the total transaction cost would be (10 + 5) / 1000 = 1.5%.It's important to note that transaction costs can have a significant impact on your investment returns, especially for small or frequent trades. As such, it's important to consider the costs of trading when making investment decisions.",253,train
finance,finance:3494,0,"There's an old saying:  ""Never invest in anything that eats or needs maintenance."" This doesn't mean that a house or a racehorse or private ownership of your own company is not an investment.  It just points out that constant effort is needed on your part, or on the part of somebody you pay, just to keep it from losing value.  Common stock, gold, and money in the bank are three things you can buy and leave alone.  They may gain or lose market value, but not because of neglect on your part. Buying a house is a complex decision.  There are many benefits and many risks. Other investments have benefits and risks too.",113,train
finance,finance:3494,1,"There are a few reasons why some people might say that a house is not an investment. One reason is that a house is a consumption good, meaning that it is used for living in rather than generating income. While a house may appreciate in value over time, it does not produce any income or profits in the way that a business or financial investment might.Another reason is that a house is a non-liquid asset, meaning that it is difficult to sell quickly or convert into cash. This can make it difficult to access the equity that you have built up in your home, especially in a down market or if you need to sell for financial reasons.Finally, owning a house involves ongoing costs such as property taxes, maintenance, and repairs, which can eat into any potential returns.Overall, it is important to consider the costs and risks associated with owning a house, as well as the potential for appreciation, when deciding whether it is a good investment for you.",169,train
finance,finance:1485,0,"You sell when you think the stock is over valued, or you need the money, or you are going to need the money in the next 5 years. I buy and hold a lot.  I bought IBM in 8th grade 1980.  I still own it.  I bought 3 share it from $190 and its now worth $5,000 do to dividend reinvestment and splits.  That stock did nothing for a thirteen years except pay a dividend but then it went up by 1800% the next 20 and paid dividends.  So I agree with other posters the whole pigs get slaughtered thing is silly and just makes fund managers more money. Think if you bought aapl at $8 and sold at $12.  The thing went to 600 and split 7-1 and is back to $120.   My parents made a ton holding Grainger for years and I have had good success with MMM and MSFT owning those for decades.",156,train
finance,finance:1485,1,"There are many factors to consider when deciding when to sell an asset, and there is no one-size-fits-all answer. Here are some things to consider:Market conditions: Is the market currently experiencing a bull or bear trend? If the market is trending downwards, it might be a good time to sell. If the market is trending upwards, it might be a good time to hold onto your asset.Your investment goals: What are you hoping to achieve with your investment? If you have a long-term investment horizon and are trying to build wealth over time, you might be more inclined to hold onto your asset for a longer period of time. On the other hand, if you need to sell in order to meet a specific financial goal, such as paying for a down payment on a house, you may need to sell sooner.Your risk tolerance: How comfortable are you with the potential for price fluctuations? If you are risk-averse and are worried about the possibility of your asset losing value, you might want to sell sooner rather than later. On the other hand, if you are comfortable with a higher level of risk and are willing to ride out market fluctuations, you might be more inclined to hold onto your asset for a longer period of time.Diversification: Is your portfolio diversified, or are you heavily concentrated in a single asset or sector? If you are heavily concentrated in a single asset or sector, it might be a good idea to sell some of your holdings in order to diversify your portfolio.Ultimately, the decision to sell an asset is a personal one and will depend on your individual circumstances and investment goals. It's important to carefully consider all of these factors and consult with a financial advisor or professional if you have any questions or concerns.",304,train
finance,finance:1833,0,"authorized 100,000,000 shares They cannot issue shares more than that so 102M isn't possible. Common stock - $.01 par value, authorized 100,000,000 shares, issued 51,970,721 and 51,575,743 shares     If you look at the right 2 columns it become clear what it means. You missed the $ symbol and on the top (In thousands, except share amounts) ouststanding share 51,970,721 -> 520 On Sept 30, 2014 outstanding shares * 0.01 and rounded off to arrive at 520. ouststanding share 51,575,743 -> 516 On June 30, 2014 outstanding shares * 0.01 and rounded off to arrive at 516.",96,train
finance,finance:1833,1,"When a company issues shares, it is essentially creating and selling ownership stakes in the company. The shares that are issued represent a portion of the company's capital and can be bought and sold on a securities exchange or in the private market. The number of shares that a company issues can vary, and the company may choose to issue different types of shares, such as common shares or preferred shares. The terms ""XXX shares"" and ""YYY shares"" refer to the specific type or class of shares that are being issued. For example, a company may issue 100,000 common shares and 50,000 preferred shares.",104,train
finance,finance:2134,0,"Venezuela is a command economy, and one that isn't doing terribly well right now, with rampant inflation in the several hundred percent range.  As such, they've tried to limit or eliminate exchanges between their currency and foreign currencies. Currently, they allow a limited amount of exchange at fixed rates (according to a Bloomberg article, those vary between 6.3, 13.5, and 200) for certain purchases, and then otherwise disallow exchange between the currencies.  However, there is a black market (illegal in Venezuela, but legal in the US) which allows the price to float, and is much higher - 800 or so according to that article from last year.  A recent Valuewalk article lists the black market rate at closer to 900, and slightly different official rates.  It's worth a read as it explains the different official rates in detail: Currently there are four exchange rates: First is the official one,   called CENCOEX, and which charges 6.30 bolivars to the dollar. It is   only intended for the importation of food and medicine. The next two exchange rates are SICAD I (12 bolivars per dollar) and   SICAD 2 (50 bolivars per dollar); they assign dollars to enterprises   that import all other types of goods. Because of the fact that US   dollars are limited, coupons are auctioned only sporadically; usually   weekly in the case of SICAD 1 and daily for SICAD 2. However, due to   the economic crisis, no dollars have been allocated for these foreign   exchange transactions and there hasn’t been an auction since August   18, 2015. As of November 2015, the Venezuelan government held only $16   billion in foreign exchange reserves, the lowest level in over ten   years, and an amount that will dry up completely in four years time at   the current rate of depletion. The last and newest exchange rate is the SIMADI, currently at 200   bolivars per dollar. This rate is reserved for the purchase and sale   of foreign currency to individuals and businesses.",325,train
